sentiment,movement
0.10850152733269616,0
0.15787937936882748,0
0.10384680134680137,0
0.15540851868438071,0
0.152374454528069,0
0.12425092053540328,1
0.11737018068003985,1
0.1453421745136861,1
0.1395188586997798,1
0.12322741604260995,1
0.13750607263107273,0
0.12779294223123336,1
0.11662962361947135,0
0.09339963817047152,0
0.11152100376453207,0
0.1016315530052509,1
0.0898751225753988,0
0.07693531771436701,1
0.10257951288374573,1
0.07298008030616725,1
0.1036912725277087,1
0.10300007831536853,0
0.08058548615300137,0
0.12783298206521335,1
0.11748735132232935,0
0.10150772973638833,0
0.08294658890492226,0
0.0948781721380243,0
0.11828643056581126,1
0.16099033366451398,0
0.14382345875165026,1
0.1210438772647106,1
0.14300604461826055,0
0.15751432321333636,1
