Date,Sentiment
1566864000000,0.10850152733269616
1566860400000,0.15787937936882748
1566856800000,0.10384680134680135
1566853200000,0.15540851868438071
1566849600000,0.152374454528069
1566846000000,0.12425092053540328
1566842400000,0.11737018068003985
1566838800000,0.1453421745136861
1566835200000,0.13951885869977979
1566831600000,0.12322741604260995
1566828000000,0.13750607263107273
1566824400000,0.12779294223123336
1566820800000,0.11662962361947135
1566817200000,0.09339963817047152
1566813600000,0.11152100376453207
1566810000000,0.1016315530052509
1566806400000,0.0898751225753988
1566802800000,0.07693531771436701
1566799200000,0.10257951288374571
1566795600000,0.07298008030616725
1566792000000,0.1036912725277087
1566788400000,0.10300007831536852
1566784800000,0.08058548615300137
1566781200000,0.12783298206521337
1566777600000,0.11748735132232936
1566774000000,0.10150772973638832
1566770400000,0.08294658890492226
1566766800000,0.0948781721380243
1566763200000,0.11828643056581126
1566759600000,0.16099033366451398
1566756000000,0.14382345875165023
1566752400000,0.1210438772647106
1566748800000,0.14300604461826055
1566745200000,0.15751432321333636
